DatumTijd,GAS_UTIL_Totaal_Nm³,GAS_UTIL_Turbine_Nm³,GAS_UTIL_HRSG_Nm³,GAS_UTIL_GT EDP_day avg_Nm3,GAS_UTIL_HRSG EDP_day avg_Nm3,GAS_UTIL_BUB brander 1_Nm³,GAS_UTIL_BUB brander 2_Nm³,GAS_UTIL_BUB brander 1+2_Nm3,GAS_NB_NB TOT_Nm³,GAS_CP_CP TOT_Nm³,GAS_NB_NB Wervelbeddroger_Nm³,GAS_NB_NB Sproeidroger_Nm³,GAS_CP_CP Klinkeroven_Nm³,GAS_CP_CP TiCl4 verhitter_Nm³,GAS_CP_CP Zuurstofverhitter_Nm³,GAS_CP_CP AGV_Nm³,STOOM_UTIL_HRSG_ton/hr,STOOM_UTIL_WHB_ton/hr,STOOM_UTIL_BUB_ton/hr,STOOM_21 barg_21 barg TOT_ton/hr,STOOM_9 barg_9 barg TOT_ton/hr,STOOM_9 barg_9 barg ONTG_ton/hr,STOOM_9 barg_9 barg NB_ton/hr,STOOM_9 barg_9 barg CP_ton/hr,STOOM_21 barg_21 barg WHB_ton/hr,STOOM_21 barg_21 barg MICRONISATIE_ton/hr,GAS_ENI_Totaal_Nm³,GAS_ENI_Totaal_MWh,GAS_ENI_Totaal_kWhNm³,ELEC_FLUVIUS_Afname_kWh,ELEC_FLUVIUS_GTprod_kWh,ELEC_FLUVIUS_Injectie_kWh,ELEC_verbruik_kWh,GT_REND_%,GAS_balans_Nm³,Maand,Dag,Uur,Week,Weekdag,Label,Label2,Type
1/1/2022 0:00,3913.67,1827.11,23.59,1825.0,535.0,0.0,0.0,0.0,680.85,928.11,330.85,607.45,178.25,236.84,126.82,46.39,23.59,3.4,0.0,14.32,6.46,1.23,1.38,4.57,0.0,14.32,3913.67,30.44,11.42,0.0,5808.0,105.6,5702.4,0.31,-57.41,1.0,1.0,0.0,1.0,6.0,110.0,11.0,wknd
1/1/2022 1:00,3820.28,1828.98,24.23,1825.0,535.0,0.0,0.0,0.0,674.93,837.34,240.46,595.24,178.31,237.77,129.16,40.78,24.23,3.36,0.0,14.31,6.68,1.15,1.4,4.56,0.0,14.31,3820.28,30.1,11.41,0.0,5849.25,242.0,5607.25,0.31,-55.97,1.0,1.0,1.0,1.0,6.0,111.0,11.0,wknd
1/1/2022 2:00,4015.19,1830.85,25.2,1825.0,535.0,0.0,0.0,0.0,657.92,930.27,331.68,605.34,174.8,236.93,127.75,44.57,25.2,3.39,0.0,14.31,6.98,1.38,2.18,4.69,0.0,14.31,4015.19,29.08,11.41,4.4,5846.5,39.6,5811.3,0.31,61.15,1.0,1.0,2.0,1.0,6.0,112.0,11.0,wknd
1/1/2022 3:00,3872.51,1832.73,24.3,1825.0,535.0,0.0,0.0,0.0,639.61,920.48,320.75,601.16,167.17,234.82,127.4,23.35,24.3,3.21,0.0,14.3,7.27,1.18,1.43,4.73,0.0,14.3,3872.51,29.98,11.41,17.6,5857.5,61.6,5813.5,0.31,-55.3,1.0,1.0,3.0,1.0,6.0,113.0,11.0,wknd
1/1/2022 4:00,3845.02,1834.6,24.85,1825.0,535.0,0.0,0.0,0.0,620.99,896.41,299.86,600.31,161.22,234.55,128.53,13.06,24.85,3.15,0.0,14.3,7.57,1.24,1.56,4.71,0.0,14.3,3845.02,29.87,11.41,0.0,5871.25,74.8,5796.45,0.31,-41.98,1.0,1.0,4.0,1.0,6.0,114.0,11.0,wknd
1/1/2022 5:00,4028.77,1835.78,26.34,1825.0,535.0,0.0,0.0,0.0,606.42,934.18,334.41,600.39,160.54,233.14,128.51,19.55,26.34,1.58,0.0,14.31,7.86,1.38,1.74,4.69,0.0,14.31,4028.77,31.45,11.41,35.2,5898.75,52.8,5881.15,0.31,117.39,1.0,1.0,5.0,1.0,6.0,115.0,11.0,wknd
1/1/2022 6:00,3983.56,1833.33,25.57,1825.0,535.0,0.0,0.0,0.0,607.52,932.3,335.1,595.14,158.66,232.79,126.59,13.12,25.57,1.21,0.0,14.37,8.64,1.39,1.21,4.72,0.04,14.37,3953.85,45.7,11.56,22.0,5931.75,35.2,5918.55,0.31,75.4,1.0,1.0,6.0,1.0,6.0,116.0,11.0,wknd
1/1/2022 7:00,3874.65,1830.38,24.46,1825.0,535.0,0.0,0.0,0.0,610.19,932.98,335.16,597.4,160.09,228.33,127.12,13.09,24.46,3.2,0.0,14.42,7.56,1.21,1.47,4.69,0.0,14.42,3854.42,44.55,11.56,0.0,5942.75,290.4,5652.35,0.31,-33.89,1.0,1.0,7.0,1.0,6.0,117.0,11.0,wknd
1/1/2022 8:00,3959.42,1827.43,25.67,1825.0,535.0,0.0,0.0,0.0,612.85,936.04,336.92,604.13,161.87,226.98,128.34,13.06,25.67,3.29,0.0,14.48,7.09,1.41,1.96,4.69,0.0,14.48,3933.71,45.47,11.56,0.0,5926.25,189.2,5737.05,0.31,48.1,1.0,1.0,8.0,1.0,6.0,118.0,11.0,wknd
1/1/2022 9:00,3838.83,1824.48,24.01,1825.0,535.0,0.0,0.0,0.0,615.52,925.32,336.03,592.63,160.13,227.63,128.04,13.08,24.01,3.27,0.0,14.53,6.7,1.17,1.76,4.69,0.0,14.53,3814.99,44.1,11.56,0.0,5909.75,149.6,5760.15,0.31,-61.48,1.0,1.0,9.0,1.0,6.0,119.0,11.0,wknd
1/1/2022 10:00,3940.15,1821.52,25.28,1825.0,535.0,0.0,0.0,0.0,617.83,939.98,339.63,605.23,166.77,235.85,127.11,15.43,25.28,3.12,0.0,14.59,6.66,1.18,1.56,4.65,0.0,14.59,3904.24,45.12,11.56,8.8,5890.5,57.2,5842.1,0.31,25.82,1.0,1.0,10.0,1.0,6.0,1110.0,11.0,wknd
1/1/2022 11:00,3667.8,1818.57,25.76,1825.0,535.0,0.0,0.0,0.0,613.97,636.93,337.07,306.79,164.61,227.91,129.09,13.91,25.76,3.11,0.0,14.64,7.09,1.61,1.89,4.74,0.0,14.64,3655.63,42.19,11.54,8.8,5868.5,83.6,5793.7,0.31,63.32,1.0,1.0,11.0,1.0,6.0,1111.0,11.0,wknd
1/1/2022 12:00,3845.7,1815.62,24.34,1825.0,535.0,0.0,0.0,0.0,607.84,891.36,334.27,565.92,165.59,229.33,127.15,13.1,24.34,3.25,0.0,14.7,6.45,1.14,1.45,4.87,0.0,14.7,3814.48,43.98,11.53,8.8,5830.0,35.2,5803.6,0.31,-4.13,1.0,1.0,12.0,1.0,6.0,1112.0,11.0,wknd
1/1/2022 13:00,3879.65,1813.16,24.46,1825.0,535.0,0.0,0.0,0.0,602.71,937.02,331.64,607.9,164.57,226.69,127.6,13.15,24.46,3.27,0.0,14.74,5.67,1.18,1.46,4.73,0.0,14.74,3854.32,44.47,11.54,17.6,5788.75,22.0,5784.35,0.31,-8.25,1.0,1.0,13.0,1.0,6.0,1113.0,11.0,wknd
