latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.072056,3.7096772,13.0,0,GMT,GMT

time,temperature_2m (°C)
2021-12-31T00:00,14.0
2021-12-31T00:15,13.8
2021-12-31T00:30,13.6
2021-12-31T00:45,13.399999999999999
2021-12-31T01:00,13.2
2021-12-31T01:15,12.825
2021-12-31T01:30,12.45
2021-12-31T01:45,12.075
2021-12-31T02:00,11.7
2021-12-31T02:15,11.575
2021-12-31T02:30,11.45
2021-12-31T02:45,11.325
2021-12-31T03:00,11.2
2021-12-31T03:15,11.174999999999999
2021-12-31T03:30,11.149999999999999
2021-12-31T03:45,11.125
2021-12-31T04:00,11.1
2021-12-31T04:15,11.075
2021-12-31T04:30,11.05
2021-12-31T04:45,11.025
2021-12-31T05:00,11.0
2021-12-31T05:15,11.05
2021-12-31T05:30,11.1
2021-12-31T05:45,11.149999999999999
2021-12-31T06:00,11.2
2021-12-31T06:15,11.25
2021-12-31T06:30,11.3
2021-12-31T06:45,11.35
2021-12-31T07:00,11.4
2021-12-31T07:15,11.425
2021-12-31T07:30,11.45
2021-12-31T07:45,11.475
2021-12-31T08:00,11.5
2021-12-31T08:15,11.6
2021-12-31T08:30,11.7
2021-12-31T08:45,11.8
2021-12-31T09:00,11.9
2021-12-31T09:15,12.0
2021-12-31T09:30,12.100000000000001
2021-12-31T09:45,12.200000000000001
2021-12-31T10:00,12.3
2021-12-31T10:15,12.350000000000001
2021-12-31T10:30,12.4
2021-12-31T10:45,12.45
2021-12-31T11:00,12.5
2021-12-31T11:15,12.75
2021-12-31T11:30,13.0
2021-12-31T11:45,13.25
2021-12-31T12:00,13.5
2021-12-31T12:15,13.6
2021-12-31T12:30,13.7
2021-12-31T12:45,13.8
2021-12-31T13:00,13.9
2021-12-31T13:15,13.925
2021-12-31T13:30,13.95
2021-12-31T13:45,13.975
2021-12-31T14:00,14.0
2021-12-31T14:15,13.875
2021-12-31T14:30,13.75
2021-12-31T14:45,13.625
2021-12-31T15:00,13.5
2021-12-31T15:15,13.4
2021-12-31T15:30,13.3
2021-12-31T15:45,13.2
2021-12-31T16:00,13.1
2021-12-31T16:15,13.1
2021-12-31T16:30,13.1
2021-12-31T16:45,13.1
2021-12-31T17:00,13.1
2021-12-31T17:15,12.8
2021-12-31T17:30,12.5
2021-12-31T17:45,12.2
2021-12-31T18:00,11.9
2021-12-31T18:15,11.95
2021-12-31T18:30,12.0
2021-12-31T18:45,12.05
2021-12-31T19:00,12.1
2021-12-31T19:15,12.3
2021-12-31T19:30,12.5
2021-12-31T19:45,12.7
2021-12-31T20:00,12.9
2021-12-31T20:15,12.75
2021-12-31T20:30,12.600000000000001
2021-12-31T20:45,12.450000000000001
2021-12-31T21:00,12.3
2021-12-31T21:15,12.375
2021-12-31T21:30,12.45
2021-12-31T21:45,12.525
2021-12-31T22:00,12.6
2021-12-31T22:15,12.45
2021-12-31T22:30,12.3
2021-12-31T22:45,12.15
2021-12-31T23:00,12.0
2021-12-31T23:15,11.875
2021-12-31T23:30,11.75
2021-12-31T23:45,11.625
2022-01-01T00:00,11.5
2022-01-01T00:15,11.375
2022-01-01T00:30,11.25
2022-01-01T00:45,11.125
2022-01-01T01:00,11.0
2022-01-01T01:15,10.9
2022-01-01T01:30,10.8
2022-01-01T01:45,10.7
2022-01-01T02:00,10.6
2022-01-01T02:15,10.85
2022-01-01T02:30,11.1
2022-01-01T02:45,11.35
2022-01-01T03:00,11.6
2022-01-01T03:15,11.65
2022-01-01T03:30,11.7
2022-01-01T03:45,11.75
2022-01-01T04:00,11.8
2022-01-01T04:15,11.725000000000001
2022-01-01T04:30,11.65
2022-01-01T04:45,11.575
2022-01-01T05:00,11.5
2022-01-01T05:15,11.45
2022-01-01T05:30,11.4
2022-01-01T05:45,11.350000000000001
2022-01-01T06:00,11.3
2022-01-01T06:15,11.200000000000001
2022-01-01T06:30,11.100000000000001
2022-01-01T06:45,11.0
2022-01-01T07:00,10.9
2022-01-01T07:15,10.8
2022-01-01T07:30,10.7
2022-01-01T07:45,10.6
2022-01-01T08:00,10.5
2022-01-01T08:15,10.6
2022-01-01T08:30,10.7
2022-01-01T08:45,10.8
2022-01-01T09:00,10.9
2022-01-01T09:15,11.15
2022-01-01T09:30,11.4
2022-01-01T09:45,11.65
2022-01-01T10:00,11.9
2022-01-01T10:15,12.075
2022-01-01T10:30,12.25
2022-01-01T10:45,12.425
2022-01-01T11:00,12.6
2022-01-01T11:15,12.775
2022-01-01T11:30,12.95
2022-01-01T11:45,13.125
2022-01-01T12:00,13.3
2022-01-01T12:15,13.350000000000001
2022-01-01T12:30,13.4
2022-01-01T12:45,13.45
2022-01-01T13:00,13.5
2022-01-01T13:15,13.55
2022-01-01T13:30,13.6
2022-01-01T13:45,13.649999999999999
2022-01-01T14:00,13.7
2022-01-01T14:15,13.674999999999999
2022-01-01T14:30,13.649999999999999
2022-01-01T14:45,13.625
2022-01-01T15:00,13.6
2022-01-01T15:15,13.35
2022-01-01T15:30,13.1
2022-01-01T15:45,12.85
2022-01-01T16:00,12.6
2022-01-01T16:15,12.575
2022-01-01T16:30,12.55
2022-01-01T16:45,12.525
2022-01-01T17:00,12.5
2022-01-01T17:15,12.45
2022-01-01T17:30,12.4
2022-01-01T17:45,12.350000000000001
2022-01-01T18:00,12.3
2022-01-01T18:15,12.15
2022-01-01T18:30,12.0
2022-01-01T18:45,11.85
2022-01-01T19:00,11.7
2022-01-01T19:15,11.575
